# als-dimmer brightness-to-nits sweep
# script=als-dimmer-sweep-child.py
# label=warm
# output_type=i2c_pwm
# timestamp=2026-05-07T11:39:28.664844+02:00
# start=100 end=0 step=1 settle_seconds=3.0 max_retries=5
# planned_steps=101
# temp_source=i2c:/dev/i2c-1@0x66/0x1002
#
# === comparison vs boe_pwm_2khz_reference.csv (Pi GPIO/PWM path) ===
# At brightness >=25% the two paths are functionally identical (mean
# delta ~0%, range +/-0.6% - within colorimeter noise + thermal drift).
# Frequency difference (1953 Hz here vs 2000 Hz reference) is invisible.
# Below 10% the i2c_pwm path reads consistently HIGHER nits: +5% at 10%,
# ~+56% relative (+7 nits absolute) at 1%. Root cause is the ATtiny85's
# 8-bit duty resolution: brightness=1% rounds to native byte 3
# (= 1.176% duty) instead of an exact 1.0%, and the panel response curve
# is highly non-linear near zero (~250 nits per 1% duty in the 0..1% range).
# So this file is REQUIRED for accurate low-brightness reporting on the
# i2c_pwm output - reusing boe_pwm_2khz_reference.csv would over-darken
# the 0..10% brightness range by 5..50%.
brightness_pct,nits,status,backlight_temp_c,retries
100,1115.3121,OK,49.00,0
99,1106.9061,OK,49.10,0
98,1099.3085,OK,49.10,0
97,1088.5186,OK,49.00,0
96,1080.6313,OK,49.10,0
95,1068.7206,OK,49.10,0
94,1061.3534,OK,49.10,2
93,1050.9337,OK,49.30,0
92,1042.8980,OK,49.30,0
91,1031.3601,OK,49.20,0
90,1024.0709,OK,49.30,0
89,1012.2307,OK,49.30,0
88,1001.0630,OK,49.40,0
87,995.8569,OK,49.40,0
86,984.2484,OK,49.40,0
85,976.2100,OK,49.40,0
84,963.4103,OK,49.40,0
83,956.1137,OK,49.50,1
82,943.7621,OK,49.50,0
81,936.8384,OK,49.50,0
80,924.4076,OK,49.50,0
79,912.3557,OK,49.50,1
78,904.6196,OK,49.50,0
77,891.4409,OK,49.50,0
76,884.4453,OK,49.50,0
75,874.0256,OK,49.50,0
74,868.0715,OK,49.50,0
73,855.2778,OK,49.60,2
72,846.6427,OK,49.60,0
71,834.5908,OK,49.60,0
70,826.1761,OK,49.60,0
69,814.0449,OK,49.70,0
68,802.2866,OK,49.70,0
67,793.8793,OK,49.70,0
66,780.7093,OK,49.70,0
65,772.3725,OK,49.70,1
64,759.7226,OK,49.70,0
63,751.0862,OK,49.90,2
62,742.1588,OK,49.90,0
61,733.2314,OK,49.90,1
60,719.6898,OK,49.90,2
59,707.0324,OK,49.90,0
58,699.0733,OK,49.90,0
57,686.4247,OK,50.00,0
56,676.5983,OK,49.90,0
55,664.4697,OK,50.00,0
54,654.5022,OK,49.90,0
53,642.3005,OK,50.00,1
52,634.6363,OK,50.00,0
51,620.2044,OK,50.10,0
50,611.7191,OK,50.10,0
49,600.7819,OK,50.00,0
48,587.9808,OK,50.10,4
47,580.2447,OK,50.10,0
46,565.8054,OK,50.10,0
45,558.0694,OK,50.20,0
44,544.6776,OK,50.30,2
43,535.6017,OK,50.20,0
42,519.8312,OK,50.20,1
41,513.5849,OK,50.20,0
40,498.5536,OK,50.20,0
39,484.4858,OK,50.30,0
38,474.8885,OK,50.20,0
37,464.7005,OK,50.30,0
36,455.1751,OK,50.30,2
35,442.0064,OK,50.30,0
34,432.5589,OK,50.30,0
33,416.9370,OK,50.30,3
32,409.2728,OK,50.30,0
31,395.8824,OK,50.40,1
30,386.1365,OK,50.30,0
29,370.5146,OK,50.30,0
28,355.2655,OK,50.40,0
27,347.9716,OK,50.40,0
26,332.7992,OK,50.50,2
25,323.8744,OK,50.40,0
24,309.7449,OK,50.50,0
23,299.6980,OK,50.50,2
22,284.6680,OK,50.70,1
21,274.5519,OK,50.60,0
20,259.3809,OK,50.60,0
19,244.3535,OK,50.70,1
18,234.1656,OK,50.70,0
17,219.4366,OK,50.70,0
16,209.3998,OK,50.60,0
15,194.1521,OK,50.70,0
14,184.4049,OK,50.70,0
13,169.0853,OK,50.70,0
12,159.2689,OK,50.70,2
11,144.0286,OK,50.70,1
10,134.3546,OK,50.70,0
9,119.4845,OK,50.80,0
8,104.3866,OK,50.80,0
7,94.4204,OK,50.80,0
6,79.7721,OK,50.80,0
5,69.7353,OK,50.80,1
4,55.0869,OK,50.80,0
3,44.9003,OK,50.80,0
2,29.8654,OK,50.80,0
1,19.9927,OK,50.80,0
0,0.0352,OK,50.80,0
# completed=true
