# als-dimmer brightness-to-nits reference table
# label=reference_unit
# output_type=boe_pwm
# warning=this CSV was swept on ONE specific BOE display unit; per-unit
#         variation is typically 5-15% due to LED + LCD manufacturing
#         tolerances. For accurate nits readout on your panel, run
#         tools/als-dimmer-sweep.py and replace this file.
# source=pwm-poc/backlight_sweep_2000hz_1percent_step.csv
# converted_at=2026-04-28
# Converted from PWM-direct sweep: brightness_pct == duty_pct because
# boe_pwm output uses direct duty mapping (no internal response_curve).
#
# --- preserved from original sweep ---
# MPQ3367 backlight PWM sweep
# timestamp=2026-04-23T11:08:36+02:00
# period_ns=500000, pwm_freq_hz=2000
# percent_step=1, max_retry=5, settle_s=3
# mpq3367_reg_0x00=0xa6
# mpq3367_reg_0x01=0xaa
# mpq3367_fault_latched_before=0x00
# mpq3367_fault_current_before=0x00
brightness_pct,nits,status,backlight_temp_c
100,1119.800046,OK,
99,1111.461973,OK,
98,1100.003377,OK,
97,1093.077046,OK,
96,1080.876638,OK,
95,1073.290432,OK,
94,1062.644202,OK,
93,1055.127228,OK,
92,1042.926820,OK,
91,1032.279267,OK,
90,1024.312761,OK,
89,1012.482597,OK,
88,1004.966947,OK,
87,996.111435,OK,
86,988.303505,OK,
85,976.093041,OK,
84,964.264201,OK,
83,956.669263,OK,
82,944.540735,OK,
81,937.245485,OK,
80,925.265477,OK,
79,917.009339,OK,
78,904.958775,OK,
77,896.545386,OK,
76,884.935622,OK,
75,876.529641,OK,
74,867.750769,OK,
73,855.472397,OK,
72,847.657059,OK,
71,834.487032,OK,
70,826.301451,OK,
69,814.543167,OK,
68,806.207742,OK,
67,793.187559,OK,
66,781.208875,OK,
65,772.510614,OK,
64,759.554903,OK,
63,751.297442,OK,
62,741.848639,OK,
61,733.214850,OK,
60,719.824424,OK,
59,711.268599,OK,
58,698.540695,OK,
57,685.229557,OK,
56,677.414219,OK,
55,664.174961,OK,
54,655.169604,OK,
53,642.149422,OK,
52,633.074833,OK,
51,620.195762,OK,
50,611.719226,OK,
49,601.224163,OK,
48,587.763181,OK,
47,578.908992,OK,
46,565.070358,OK,
45,556.142966,OK,
44,542.975587,OK,
43,534.269919,OK,
42,520.210885,OK,
41,506.751227,OK,
40,497.518063,OK,
39,483.459029,OK,
38,474.383117,OK,
37,463.153652,OK,
36,453.707496,OK,
35,439.350098,OK,
34,430.194898,OK,
33,416.065309,OK,
32,401.636032,OK,
31,392.861131,OK,
30,378.502410,OK,
29,368.757890,OK,
28,354.549013,OK,
27,344.882457,OK,
26,330.523736,OK,
25,320.929060,OK,
24,307.912849,OK,
23,294.973278,OK,
22,282.105587,OK,
21,268.867652,OK,
20,256.300972,OK,
19,243.283437,OK,
18,230.565590,OK,
17,217.549378,OK,
16,204.832855,OK,
15,191.674208,OK,
14,178.887128,OK,
13,166.319125,OK,
12,153.153070,OK,
11,140.587714,OK,
10,127.949154,OK,
9,114.783099,OK,
8,102.216419,OK,
7,89.429340,OK,
6,76.493740,OK,
5,64.006348,OK,
4,51.369112,OK,
3,38.502745,OK,
2,26.055933,OK,
1,12.839867,OK,
0,0.047956,OK,
