# als-dimmer brightness-to-nits sweep
# script=als-dimmer-sweep-child.py
# label=warm
# output_type=dimmer2048
# timestamp=2026-04-30T14:24:16.848844+02:00
# start=100 end=0 step=1 settle_seconds=3.0 max_retries=5
# planned_steps=101
# temp_source=i2c:/dev/i2c-1@0x66/0x1002
brightness_pct,nits,status,backlight_temp_c,retries
100,1187.8022,OK,39.90,0
99,1175.3677,OK,40.00,0
98,1163.5897,OK,40.00,0
97,1151.4443,OK,40.10,0
96,1139.6616,OK,40.10,0
95,1127.6664,OK,40.10,0
94,1115.7415,OK,40.10,0
93,1103.5180,OK,40.10,0
92,1091.8837,OK,40.10,0
91,1079.6649,OK,40.20,0
90,1068.1043,OK,40.20,0
89,1055.7449,OK,40.20,0
88,1044.2560,OK,40.30,0
87,1031.8918,OK,40.30,0
86,1020.4781,OK,40.30,0
85,1008.2531,OK,40.30,0
84,996.6236,OK,40.30,0
83,984.4752,OK,40.30,0
82,972.6925,OK,40.30,0
81,960.6207,OK,40.30,0
80,948.6910,OK,40.30,0
79,936.6177,OK,40.30,0
78,925.0585,OK,40.30,0
77,912.9116,OK,40.30,0
76,901.2026,OK,40.30,0
75,889.9387,OK,40.40,0
74,877.4246,OK,40.40,0
73,865.8592,OK,40.30,0
72,854.3000,OK,40.30,0
71,842.8877,OK,40.30,0
70,830.9566,OK,40.30,0
69,819.2490,OK,40.30,0
68,807.2475,OK,40.30,0
67,795.3945,OK,40.30,0
66,783.3227,OK,40.30,0
65,771.8323,OK,40.30,0
64,759.8324,OK,40.30,0
63,747.9778,OK,40.30,0
62,735.6825,OK,40.30,0
61,724.3406,OK,40.30,0
60,712.1204,OK,40.30,0
59,700.5612,OK,40.20,0
58,688.1941,OK,40.20,0
57,676.5583,OK,40.30,0
56,662.6563,OK,40.20,0
55,650.7314,OK,40.20,0
54,638.7314,OK,40.20,0
53,627.3880,OK,40.20,0
52,615.3100,OK,40.10,0
51,603.6790,OK,40.10,0
50,592.3371,OK,40.10,0
49,580.6295,OK,40.10,0
48,569.6517,OK,40.10,0
47,558.1629,OK,40.10,0
46,546.4553,OK,40.00,0
45,534.1599,OK,40.00,0
44,522.5289,OK,40.10,0
43,510.3791,OK,40.00,0
42,498.6729,OK,40.00,0
41,486.6011,OK,40.00,0
40,474.8184,OK,39.90,0
39,462.9639,OK,39.90,0
38,451.3266,OK,39.90,0
37,439.1079,OK,39.90,0
36,427.4018,OK,39.90,0
35,415.3285,OK,39.80,0
34,403.6161,OK,39.80,0
33,391.3974,OK,39.80,0
32,379.7664,OK,39.80,0
31,367.4711,OK,39.80,0
30,355.8401,OK,39.70,0
29,343.4682,OK,39.70,0
28,331.9793,OK,39.70,0
27,319.6888,OK,39.60,0
26,307.8342,OK,39.70,0
25,296.3454,OK,39.60,0
24,283.8328,OK,39.60,0
23,272.2721,OK,39.60,0
22,259.7596,OK,39.60,0
21,248.2003,OK,39.50,0
20,235.5408,OK,39.50,0
19,223.9036,OK,39.40,0
18,211.9036,OK,39.40,0
17,200.1257,OK,39.40,0
16,187.8303,OK,39.30,0
15,175.8351,OK,39.30,0
14,163.1741,OK,39.30,0
13,151.5384,OK,39.20,0
12,139.3196,OK,39.20,0
11,127.5369,OK,39.20,0
10,115.3948,OK,39.10,0
9,103.7590,OK,39.10,0
8,91.6106,OK,39.00,0
7,79.9045,OK,39.00,0
6,67.6857,OK,39.00,0
5,56.1969,OK,38.90,0
4,44.0547,OK,38.90,0
3,32.8185,OK,38.80,0
2,20.8980,OK,38.80,0
1,9.8553,OK,38.80,0
0,0.0000,OK,38.70,0
# completed=true
