# live display measurement log
# script=live-measurements-child.py
# timestamp=2026-04-30T17:36:25.791576+02:00
# record_interval_seconds=30.0
# spotread_timeout=15.0
sample_index,timestamp,elapsed_seconds,X,Y,Z,x,y,backlight_temp_c,als_absolute_nits,als_brightness_pct,delta_nits,delta_pct
1,2026-04-30T17:36:28.783304+02:00,4.356,1180.287605,1175.543291,1450.331381,0.310099,0.308853,37.80,1226.217200,100,-50.673909,-4.132539
2,2026-04-30T17:37:24.635965+02:00,34.360,1199.001924,1193.217372,1483.155668,0.309390,0.307897,39.00,1226.217200,100,-32.999828,-2.691189
3,2026-04-30T17:37:54.644141+02:00,64.369,1196.632279,1190.904740,1482.627382,0.309194,0.307714,39.60,1226.217200,100,-35.312460,-2.879788
4,2026-04-30T17:38:24.649350+02:00,94.374,1195.041990,1189.240977,1482.271998,0.309072,0.307571,40.00,1226.217200,100,-36.976223,-3.015471
5,2026-04-30T17:38:54.655267+02:00,124.380,1193.167404,1187.359943,1481.743259,0.308929,0.307425,40.30,1226.217200,100,-38.857257,-3.168872
6,2026-04-30T17:39:24.664009+02:00,154.388,1191.754868,1185.766524,1481.385309,0.308832,0.307280,40.60,1226.217200,100,-40.450676,-3.298818
7,2026-04-30T17:39:54.671209+02:00,184.396,1190.556851,1184.244918,1481.198375,0.308754,0.307117,40.80,1226.217200,100,-41.972282,-3.422908
8,2026-04-30T17:40:24.681148+02:00,214.406,1189.106116,1182.872067,1480.847668,0.308632,0.307014,41.10,1226.217200,100,-43.345133,-3.534866
9,2026-04-30T17:40:54.688788+02:00,244.413,1187.622372,1181.355231,1480.668204,0.308502,0.306874,41.50,1226.217200,100,-44.861969,-3.658566
10,2026-04-30T17:41:24.700686+02:00,274.425,1186.208404,1179.983852,1480.491079,0.308372,0.306754,42.00,1226.217200,100,-46.233348,-3.770404
11,2026-04-30T17:41:54.711207+02:00,304.436,1185.256486,1178.900086,1480.484742,0.308288,0.306635,42.40,1226.217200,100,-47.317114,-3.858787
12,2026-04-30T17:42:24.711321+02:00,334.436,1183.840191,1177.449180,1479.781969,0.308206,0.306542,42.80,1226.217200,100,-48.768020,-3.977111
