# als-dimmer thermal compensation factor table
# label=dimmer2048_thermal_factor_warm
# reference_temp_c=38.00
# source=dimmer_2048_temp_nits_relation.csv
# generated_at=2026-04-30T19:50:21.184395+02:00
# bin_size_c=0.5 smooth_window=5
# raw_rows=128 factor_rows=35
# factor_min=0.949073 factor_max=1.001805
backlight_temp_c,factor
38.00,1.000000
39.00,1.000566
39.50,1.000454
40.00,1.001805
40.50,0.999806
41.00,0.997965
41.50,0.996222
42.00,0.994570
42.50,0.993101
43.00,0.991783
43.50,0.990500
44.00,0.989102
44.50,0.987753
45.00,0.986569
45.50,0.985305
46.00,0.983846
46.50,0.982295
47.00,0.980732
47.50,0.979096
48.00,0.977454
48.50,0.975848
49.00,0.974329
49.50,0.972738
50.00,0.970910
50.50,0.968977
51.00,0.967010
51.50,0.964971
52.00,0.962838
52.50,0.960706
53.00,0.958569
53.50,0.956342
54.00,0.953856
54.50,0.951519
55.00,0.950342
55.50,0.949073
