# als-dimmer brightness-to-nits sweep
# script=als-dimmer-sweep-child.py
# label=warm
# output_type=dimmer2048
# timestamp=2026-05-01T19:24:40.233367+02:00
# start=100 end=0 step=1 settle_seconds=3.0 max_retries=5
# planned_steps=101
# temp_source=i2c:/dev/i2c-1@0x66/0x1002
brightness_pct,nits,status,backlight_temp_c,retries
100,1105.8496,OK,35.70,0
99,1094.0094,OK,35.90,0
98,1082.8976,OK,36.10,0
97,1071.1326,OK,36.10,0
96,1059.8816,OK,36.30,0
95,1048.2572,OK,36.50,0
94,1037.0751,OK,36.60,0
93,1025.3067,OK,36.70,0
92,1014.0513,OK,36.80,0
91,1002.5754,OK,36.90,0
90,991.3918,OK,37.00,0
89,979.6219,OK,37.10,0
88,968.8040,OK,37.20,0
87,957.4720,OK,37.30,0
86,946.2884,OK,37.40,0
85,934.5171,OK,37.50,0
84,923.6992,OK,37.60,0
83,912.2155,OK,37.70,0
82,901.1023,OK,37.80,0
81,889.6952,OK,37.80,0
80,878.5819,OK,37.90,0
79,867.1748,OK,38.00,0
78,856.3540,OK,38.00,0
77,844.9469,OK,38.10,0
76,834.0509,OK,38.20,0
75,823.2315,OK,38.20,0
74,811.8995,OK,38.30,0
73,800.9269,OK,38.30,0
72,789.3729,OK,38.40,0
71,778.6990,OK,38.40,0
70,767.0683,OK,38.50,0
69,756.3944,OK,38.50,0
68,744.9858,OK,38.60,0
67,734.1617,OK,38.60,0
66,722.6765,OK,38.70,0
65,711.9322,OK,38.70,0
64,700.7409,OK,38.70,0
63,689.8435,OK,38.80,0
62,678.3598,OK,38.80,0
61,667.4638,OK,38.90,0
60,656.5649,OK,38.90,0
59,645.6674,OK,38.90,0
58,634.3292,OK,38.90,0
57,623.5802,OK,39.00,0
56,612.3170,OK,39.00,0
55,601.4914,OK,39.00,0
54,590.1532,OK,39.00,0
53,579.4792,OK,39.00,0
52,568.3583,OK,39.00,0
51,557.3139,OK,39.10,0
50,546.6337,OK,39.10,0
49,535.2970,OK,39.10,0
48,524.6216,OK,39.10,0
47,513.3537,OK,39.10,0
46,502.7501,OK,39.10,0
45,491.3415,OK,39.10,0
44,480.5862,OK,39.10,0
43,469.1762,OK,39.10,0
42,458.6429,OK,39.10,0
41,447.4516,OK,39.10,0
40,436.6245,OK,39.20,0
39,425.2863,OK,39.10,0
38,414.5357,OK,39.10,0
37,403.4148,OK,39.10,0
36,392.5939,OK,39.10,0
35,381.3964,OK,39.10,0
34,370.7162,OK,39.10,0
33,359.5249,OK,39.10,0
32,348.6274,OK,39.10,0
31,337.4347,OK,39.10,0
30,326.8311,OK,39.10,0
29,315.4928,OK,39.00,0
28,304.6657,OK,39.00,0
27,293.6917,OK,39.00,0
26,282.7943,OK,39.00,0
25,272.1126,OK,39.00,0
24,260.7040,OK,39.00,0
23,249.9535,OK,38.90,0
22,238.7607,OK,38.90,0
21,228.0040,OK,38.90,0
20,216.6672,OK,38.90,0
19,205.9152,OK,38.80,0
18,194.7239,OK,38.80,0
17,183.9671,OK,38.80,0
16,172.7758,OK,38.70,0
15,161.9487,OK,38.70,0
14,150.7574,OK,38.70,0
13,139.8585,OK,38.70,0
12,128.5921,OK,38.60,0
11,117.8416,OK,38.60,0
10,106.4330,OK,38.50,0
9,95.7513,OK,38.50,0
8,84.4897,OK,38.40,0
7,73.6626,OK,38.40,0
6,62.3244,OK,38.40,0
5,51.4207,OK,38.30,0
4,40.0121,OK,38.30,0
3,29.0300,OK,38.20,0
2,17.2262,OK,38.20,0
1,6.1665,OK,38.10,0
0,0.0000,OK,38.00,0
# completed=true
