# als-dimmer thermal compensation factor table
# label=dimmer_15_6_0od_warm
# reference_temp_c=38.50
# source=thermal-luminance-profile-15-6-0od.csv
# generated_at=2026-05-01T19:59:39.616431+02:00
# bin_size_c=0.5 smooth_window=5
# raw_rows=90 factor_rows=50
# factor_min=0.949873 factor_max=1.022677
backlight_temp_c,factor
28.50,1.022677
30.00,1.021349
31.00,1.020129
32.00,1.017496
33.00,1.015260
33.50,1.013279
34.50,1.011389
35.00,1.009606
36.00,1.007929
36.50,1.006304
37.00,1.004625
37.50,1.003026
38.00,1.001467
38.50,1.000000
39.00,0.998546
39.50,0.997068
40.00,0.995389
40.50,0.993722
41.00,0.992097
41.50,0.990497
42.00,0.989069
43.00,0.987853
43.50,0.986638
44.00,0.985407
45.00,0.984245
45.50,0.983096
46.00,0.982025
46.50,0.981009
47.00,0.980033
47.50,0.978943
48.00,0.977767
48.50,0.976577
49.00,0.975307
49.50,0.973945
50.00,0.972656
50.50,0.971336
51.00,0.969883
51.50,0.968497
52.00,0.967131
52.50,0.965648
53.00,0.964141
53.50,0.962626
54.00,0.960953
54.50,0.959211
55.00,0.957433
55.50,0.955651
56.00,0.953722
56.50,0.951840
57.00,0.950858
57.50,0.949873
