# als-dimmer brightness-to-nits sweep
# script=als-dimmer-sweep-child.py
# label=warm
# output_type=ddcutil
# timestamp=2026-05-04T21:31:52.645145+02:00
# start=100 end=0 step=1 settle_seconds=3.0 max_retries=5
# planned_steps=101
brightness_pct,nits,status,backlight_temp_c,retries
100,939.4831,OK,,0
99,922.3014,OK,,0
98,912.7020,OK,,0
97,906.2318,OK,,0
96,896.7835,OK,,0
95,890.3133,OK,,0
94,880.8637,OK,,0
93,874.5447,OK,,2
92,864.8747,OK,,1
91,858.1881,OK,,2
90,848.4476,OK,,0
89,842.0466,OK,,0
88,832.2268,OK,,0
87,822.3364,OK,,0
86,815.9354,OK,,0
85,806.0451,OK,,0
84,799.4250,OK,,0
83,789.6052,OK,,1
82,782.9133,OK,,0
81,772.9436,OK,,0
80,766.2530,OK,,1
79,756.2128,OK,,0
78,749.5122,OK,,0
77,739.4000,OK,,0
76,732.5522,OK,,0
75,722.3608,OK,,0
74,712.2474,OK,,0
73,705.3290,OK,,0
72,695.0657,OK,,0
71,688.1473,OK,,1
70,677.7355,OK,,0
69,670.6734,OK,,0
68,660.3334,OK,,1
67,653.4124,OK,,0
66,642.8508,OK,,0
65,635.7899,OK,,1
64,625.1503,OK,,0
63,618.2293,OK,,0
62,607.5178,OK,,0
61,596.8063,OK,,0
60,589.5956,OK,,0
59,578.8136,OK,,4
58,571.5236,OK,,0
57,560.5918,OK,,0
56,553.3710,OK,,0
55,542.4391,OK,,0
54,535.0786,OK,,0
53,523.9263,OK,,1
52,516.6277,OK,,1
51,505.4754,OK,,0
50,497.9637,OK,,0
49,486.9525,OK,,0
48,479.5201,OK,,2
47,468.1387,OK,,0
46,460.6283,OK,,0
45,453.0461,OK,,0
44,441.5941,OK,,0
43,434.0032,OK,,0
42,426.2724,OK,,0
41,414.8117,OK,,0
40,407.1502,OK,,0
39,399.3401,OK,,0
38,387.6678,OK,,0
37,379.8564,OK,,0
36,368.1060,OK,,0
35,360.2241,OK,,0
34,352.4907,OK,,0
33,340.5200,OK,,0
32,332.5601,OK,,1
31,324.6768,OK,,0
30,312.5563,OK,,0
29,304.4539,OK,,0
28,296.4927,OK,,1
27,284.3003,OK,,1
26,276.1200,OK,,0
25,268.0882,OK,,0
24,255.8178,OK,,1
23,247.5656,OK,,0
22,235.2233,OK,,1
21,226.9711,OK,,0
20,218.4206,OK,,0
19,206.1489,OK,,2
18,197.8967,OK,,0
17,189.5666,OK,,1
16,177.0744,OK,,3
15,168.3022,OK,,0
14,160.6507,OK,,0
13,149.9392,OK,,0
12,141.5385,OK,,0
11,128.4557,OK,,0
10,120.2036,OK,,0
9,111.5737,OK,,0
8,99.1609,OK,,0
7,90.6103,OK,,0
6,81.9187,OK,,0
5,68.7553,OK,,0
4,59.8345,OK,,1
3,50.6141,OK,,0
2,38.8725,OK,,0
1,28.6322,OK,,0
0,17.4630,OK,,0
# completed=true
