# als-dimmer brightness-to-nits sweep
# label=warm
# output_type=dimmer2048
# timestamp=2026-04-29T22:11:48.346153+02:00
# step_pct=1 settle_seconds=3.0 max_retries=5
# planned_steps=101 actual_rows=101
# pre_cmd=/home/pi/micropanel/usr/bin/launcher-client --srv=127.0.0.1:8081 --command="start-app pattern-generator" --timeoutsec=2 ; sleep 1 ; /home/pi/micropanel/usr/bin/launcher-client --srv=127.0.0.1:8082 ...
# warmup_seconds=5.0
# nits_min=0.000 nits_max=1226.217 ok_rows=101
brightness_pct,nits,status,backlight_temp_c
100,1226.2172,OK,
99,1212.7634,OK,
98,1200.1160,OK,
97,1186.8150,OK,
96,1174.3130,OK,
95,1161.2952,OK,
94,1149.2326,OK,
93,1136.7948,OK,
92,1124.5101,OK,
91,1111.9316,OK,
90,1099.7158,OK,
89,1086.8497,OK,
88,1074.7090,OK,
87,1062.0587,OK,
86,1050.2789,OK,
85,1037.3333,OK,
84,1025.2674,OK,
83,1012.5404,OK,
82,1000.4731,OK,
81,987.6758,OK,
80,975.3912,OK,
79,962.7346,OK,
78,950.7423,OK,
77,938.1609,OK,
76,926.1623,OK,
75,914.3873,OK,
74,901.5150,OK,
73,889.6619,OK,
72,877.2289,OK,
71,865.6008,OK,
70,853.0897,OK,
69,841.0926,OK,
68,828.8036,OK,
67,816.3705,OK,
66,804.0829,OK,
65,791.9389,OK,
64,779.5762,OK,
63,767.5825,OK,
62,754.4899,OK,
61,742.7149,OK,
60,730.3522,OK,
59,718.5710,OK,
58,705.6238,OK,
57,693.8503,OK,
56,679.2918,OK,
55,667.5168,OK,
54,654.8602,OK,
53,643.0837,OK,
52,630.4257,OK,
51,618.6507,OK,
50,606.8742,OK,
49,594.8757,OK,
48,583.4649,OK,
47,571.6133,OK,
46,559.8320,OK,
45,547.1803,OK,
44,535.2583,OK,
43,522.5299,OK,
42,510.7487,OK,
41,498.2438,OK,
40,486.3219,OK,
39,473.8811,OK,
38,461.8108,OK,
37,449.4466,OK,
36,437.3778,OK,
35,425.0902,OK,
34,412.9447,OK,
33,400.6557,OK,
32,388.6571,OK,
31,376.0757,OK,
30,364.1523,OK,
29,351.5005,OK,
28,339.6489,OK,
27,326.9909,OK,
26,314.9205,OK,
25,302.8517,OK,
24,290.2702,OK,
23,278.4172,OK,
22,266.1999,OK,
21,253.9123,OK,
20,241.2558,OK,
19,229.6966,OK,
18,216.9682,OK,
17,204.3882,OK,
16,191.9522,OK,
15,179.9537,OK,
14,166.2782,OK,
13,154.4984,OK,
12,141.9920,OK,
11,130.2108,OK,
10,117.7763,OK,
9,105.9247,OK,
8,93.3432,OK,
7,81.3510,OK,
6,68.9868,OK,
5,57.2103,OK,
4,44.9945,OK,
3,33.4291,OK,
2,21.3886,OK,
1,10.0863,OK,
0,0.0000,OK,
