# als-dimmer thermal compensation factor table (BLENDED neutral)
# label=neutral
# reference_temp_c=38.50
# blended_from=dimmer_12_3_nq1v1_thermal_factor.csv,dimmer_15_6_0od_thermal_factor.csv
# blend_method=arithmetic_mean per temp bin (only inputs that cover each temp contribute)
# generated_at=2026-05-01T22:19:21.848840+02:00
# factor_min=0.949873 factor_max=1.022677 rows=59
backlight_temp_c,factor
28.50,1.022677
29.00,1.022234
29.50,1.021792
30.00,1.021349
30.50,1.020739
31.00,1.020129
31.50,1.018813
32.00,1.017496
32.50,1.016378
33.00,1.015260
33.50,1.013279
34.00,1.012334
34.50,1.011389
35.00,1.009606
35.50,1.008768
36.00,1.007929
36.50,1.006304
37.00,1.004625
37.50,1.003026
38.00,1.000592
38.50,1.000000
39.00,0.999414
39.50,0.998619
40.00,0.998455
40.50,0.996623
41.00,0.994890
41.50,0.993219
42.00,0.991679
42.50,0.990641
43.00,0.989678
43.50,0.988429
44.00,0.987115
44.50,0.986150
45.00,0.985267
45.50,0.984061
46.00,0.982796
46.50,0.981513
47.00,0.980244
47.50,0.978881
48.00,0.977472
48.50,0.976074
49.00,0.974680
49.50,0.973204
50.00,0.971646
50.50,0.970019
51.00,0.968310
51.50,0.966597
52.00,0.964848
52.50,0.963041
53.00,0.961219
53.50,0.959349
54.00,0.957270
54.50,0.955230
55.00,0.953753
55.50,0.952228
56.00,0.953722
56.50,0.951840
57.00,0.950858
57.50,0.949873
